Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
2020 ST1,2020 ST1,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.454,0.5769,7.96,232.86,180.43,58.38,0.137,22,,,,1400,3.84,19.07,3.87,1.04,,
2018 EM2,2018 EM2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.028,0.482,6.54,64.51,188.81,19.18,0.256,20.64,,,,1050,2.88,21.01,3.01,1.05,,
2018 LF5,2018 LF5,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.792,0.6186,41.03,100.75,181.1,229.72,0.313,20.2,,,,1700,4.66,17.87,4.52,1.06,,
1980 Tezcatlipoce (1950 LA),1980 తెజ్కెట్లిపోకే,1950 LA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,island of Manhattan ,అండమాన్ దీవుల అంత ,1,0,2459396.5,1.709,0.3648,26.87,246.56,115.46,224.2,4.3,13.8,0.25,SU,Sl,816,2.24,22.78,2.33,1.09,7.25,
1036 Ganymeda (A924 UB),1036 ఘనీమీద,A924 UB,Large Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,city of Houston ,హైదరాబాద్ నగరానికి మూడు రెట్లు ,1,0,2459396.5,2.666,0.5331,26.68,215.53,132.4,94.49,37.675,9.25,0.238,S,S,1590,4.36,18.24,4.09,1.24,10.3,
2020 DM4,2020 DM4,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.887,0.4561,4.12,6.89,222.45,159,0.157,21.7,,,,947,2.59,21.68,2.75,1.03,6.67,
2007 XK11,2007 XK11,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.77,0.6218,3.44,167.48,197.03,350.9,0.465,19.34,,,,1680,4.6,17.94,4.49,1.05,,
2019 XA3,2019 XA3,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.766,0.6287,24.08,31.49,0.34,122.99,0.544,19,,,,1680,4.6,17.91,4.5,1.03,,
1917 Cuyo (1968 AA),1917 క్యూయో,1968 AA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,0,2459396.5,2.149,0.5054,23.96,188.29,194.5,18.51,5.7,14.32,0.195,,Sl,1150,3.15,20.33,3.24,1.06,2.69,
537395 (2015 LG2),537395,2015 LG2,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.259,0.1816,21.29,133.13,188.87,60.33,0.299,20.3,,,,516,1.41,26.54,1.49,1.03,16.31,
