Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
2016 FG60,2016 FG60,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.406,0.6086,9.32,297.44,102.26,139.81,0.197,21.2,,,,609,1.67,25.12,2.26,0.55,,
2009 AC16,2009 AC16,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2454849.5,1.535,0.5415,18.51,106.87,99.72,327.38,0.18,21.4,,,,695,1.9,24.03,2.37,0.7,,
2018 CZ2,2018 CZ2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.179,0.6709,5.41,120.62,117.88,358.75,0.18,21.4,,,,1180,3.23,20.09,3.64,0.72,,
2014 HE124,2014 HE124,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2456775.5,1.959,0.8487,18.73,204.34,229.78,21.09,0.137,22,,,,1000,2.74,21.31,3.62,0.3,,
363116 (2001 GQ2),363116,2001 GQ2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.214,0.5032,21.82,37.12,280.3,346.48,0.322,20.14,,,,489,1.34,27.01,1.82,0.6,,
8566 (1996 EN),8566,1996 EN,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,1.506,0.4304,37.98,164.12,125.15,168.24,1.568,16.39,0.217,,U,675,1.85,24.27,2.15,0.86,4.85,
2019 BT2,2019 BT2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.082,0.4923,19.94,306.77,65.69,129.25,0.273,20.5,,,,411,1.13,28.64,1.61,0.55,,
2015 XK351,2015 XK351,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.605,0.5756,11.84,136.13,67.46,226.24,0.299,20.3,,,,743,2.04,23.5,2.53,0.68,,
2012 BJ86,2012 BJ86,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.981,0.637,1.34,301.96,99.9,153.52,0.189,21.3,,,,1020,2.79,21.13,3.24,0.72,,
2007 TL23,2007 TL23,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.135,0.7364,2.12,136.74,101.96,174.84,0.18,21.4,,,,441,1.21,28,1.97,0.3,,
366746 (2004 LJ),366746,2004 LJ,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.087,0.4616,18.28,246.73,256.07,84.44,0.317,20.17,,,,414,1.13,28.56,1.59,0.59,,
2008 ON13,2008 ON13,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.215,0.8155,5.89,143.9,46.71,357.23,0.359,19.9,,,,1200,3.29,20.08,4.02,0.41,,
68372 (2001 PM9),68372,2001 PM9,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.618,0.4156,8.1,253.03,322.21,301.54,0.596,18.8,,,,752,2.06,23.41,2.29,0.95,,
2009 OF,2009 OF,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.353,0.599,9.37,126.9,218,98.7,0.172,21.5,,,,1320,3.62,19.39,3.76,0.94,,
2009 DR3,2009 DR3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.976,0.5607,4.08,344.68,237.52,141.95,0.172,21.5,,,,1010,2.77,21.28,3.08,0.87,,
2003 SS84,2003 SS84,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.931,0.5717,5.49,198.19,234.9,203.48,0.15,21.8,,,,980,2.68,21.44,3.03,0.83,,
2019 OM1,2019 OM1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.896,0.5982,6.17,346.69,52.65,239.84,0.18,21.4,,,,954,2.61,21.62,3.03,0.76,,
2011 YJ28,2011 YJ28,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.06,0.0926,27.07,290.11,306.02,132.56,0.189,21.3,,,,398,1.09,28.97,1.16,0.96,,
2212 Hephaistos (1978 SB),2212 హెఫైస్టాస్,1978 SB,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,0,2459396.5,2.159,0.8375,11.55,27.52,209.41,171.93,5.7,13.33,0.163,SG,,1160,3.18,20.25,3.97,0.35,20,
2007 SQ6,2007 SQ6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.043,0.1456,9.1,191.39,283.81,230.56,0.199,21.9,,,,389,1.07,29.17,1.19,0.89,,
2016 XO23,2016 XO23,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.101,0.6208,4.36,237.54,299.57,157.08,0.237,20.8,,,,1110,3.04,20.59,3.41,0.8,,
2002 LX,2002 LX,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.514,0.6699,3.24,197.63,345.27,298.11,0.227,20.9,,,,1460,4,18.73,4.2,0.83,,
2018 SK3,2018 SK3,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.6,0.7031,33.98,353.38,124.86,211.66,0.569,18.9,,,,1530,4.19,18.49,4.43,0.77,,
2009 UQ,2009 UQ,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.785,0.5348,14.51,8.72,306.03,347.12,0.157,21.7,,,,871,2.39,22.3,2.74,0.83,,
2018 AT,2018 AT,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.69,0.3992,13.38,355.78,21.48,243.6,0.262,20.59,,,,803,2.2,22.9,2.36,1.02,,
2020 KR4,2020 KR4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.834,0.9046,14.93,80.22,314.67,131.4,0.217,21,,,,907,2.48,22,3.49,0.17,,
2011 CT4,2011 CT4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.726,0.7186,2.65,304.83,69.58,252.68,0.273,20.5,,,,828,2.27,22.68,2.97,0.49,3.93,
2019 VL4,2019 VL4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.038,0.84,10.28,260.4,287.74,175.54,0.413,19.6,,,,1060,2.9,20.92,3.75,0.33,,
2011 EF17,2011 EF17,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.345,0.7431,4.22,3.88,282.41,275.43,0.496,19.2,,,,1310,3.59,19.47,4.09,0.6,,
516155 (2016 DP),516155,2016 DP,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.023,0.4771,13.33,54.38,254.01,325.26,0.314,20.19,,,,378,1.04,29.44,1.51,0.53,,
509191 (2006 OC5),509191,2006 OC5,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.401,0.6519,4.75,149.13,245.72,346.69,0.496,19.2,,,,1360,3.73,19.21,3.97,0.84,,
2011 TC4,2011 TC4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.492,0.7201,3.13,200.86,309.17,72.87,0.285,20.4,,,,665,1.82,24.41,2.57,0.42,,
2012 QC8,2012 QC8,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.821,0.7585,5.68,22.22,47.7,305.39,0.903,17.9,,,,1730,4.74,17.74,4.96,0.68,,
90416 (2003 YK118),90416,2003 YK118,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.695,0.4919,7.84,326.88,233.06,299.62,0.968,18.6,0.062,,,806,2.21,22.88,2.53,0.86,43.58,
4179 Toutatis (1989 AC),4179 టౌటటిస్,1989 AC,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,1,2459396.5,2.545,0.6242,0.45,125.2,278,47.4,5.4,15.24,0.405,,Sk,1480,4.05,18.71,4.13,0.96,176,
2001 GT2,2001 GT2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.409,0.6316,3.71,146.04,359.07,169.53,0.376,19.8,,,,1370,3.75,19.13,3.93,0.89,,
2020 TX2,2020 TX2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.408,0.7327,26.6,12.34,101.43,47.31,0.237,20.8,,,,1360,3.73,19.26,4.17,0.64,,
2014 PW59,2014 PW59,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,2.423,0.6925,2.27,301.04,289.55,312.71,0.412,20.9,0.045,,,1380,3.78,19.1,4.1,0.75,,
221455 (2006 BC10),221455,2006 BC10,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.014,0.6582,0.93,21.24,234.03,87.8,0.452,19.4,,,,1040,2.85,21.07,3.34,0.69,,
2011 YH28,2011 YH28,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.625,0.7121,8.62,285.47,287.39,65.9,0.285,20.4,,,,1550,4.25,18.42,4.49,0.76,,
2020 QQ5,2020 QQ5,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.153,0.6502,8.11,172.99,86.19,114.72,0.189,21.3,,,,1150,3.15,20.37,3.55,0.75,,
2016 NT22,2016 NT22,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.245,0.8704,17.79,315.78,146.25,133.1,0.432,19.5,,,,508,1.39,26.66,2.33,0.16,,
401856 (2000 KW43),401856,2000 KW43,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.452,0.4781,24.28,82.68,63.54,60.77,0.302,20.28,,,,639,1.75,24.72,2.15,0.76,,
304330 (2006 SX217),304330,2006 SX217,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.412,0.3101,21.04,32.62,176.19,105.25,0.78,18.9,0.08,,,613,1.68,25.06,1.85,0.97,,
251346 (2007 SJ),251346,2007 SJ,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,2.017,0.5332,8.19,306.82,175.13,216.44,1.477,16.83,,,,1050,2.88,20.9,3.09,0.94,2.72,
163364 (2002 OD20),163364,2002 OD20,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.365,0.3689,4.19,259.92,275.22,60.21,0.794,18.89,,,,583,1.6,25.47,1.87,0.86,2.42,
159857 (2004 LJ1),159857,2004 LJ1,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,island of Manhattan ,అండమాన్ దీవుల అంత ,1,1,2459396.5,2.263,0.5938,23.14,235.58,139.95,330.89,3.07,15.41,0.13,,,1240,3.4,19.85,3.61,0.92,2.72,
2008 SC,2008 SC,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2454730.5,1.091,0.7018,16.81,6.87,122.53,313.48,0.157,21.7,,,,416,1.14,28.53,1.86,0.33,,
2007 UR51,2007 UR51,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2454410.5,1.644,0.6907,7.26,208.59,72.7,30.61,0.18,21.4,,,,770,2.11,23.23,2.78,0.51,,
2010 DO,2010 DO,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller ,బస్సు అంత ,1,1,2459396.5,1.613,0.7457,11.94,154.45,116.82,172.34,0.149,21.7,0.176,,,748,2.05,23.46,2.82,0.41,,
2012 XJ134,2012 XJ134,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.567,0.7378,2.46,237.15,124.34,40.21,0.172,21.5,,,,1500,4.11,18.62,4.46,0.67,,
2019 PG1,2019 PG1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.458,0.5933,20.35,281.64,13.59,180.71,0.26,20.6,,,,1410,3.86,18.97,3.92,1,,
525356 (2005 BG14),525356,2005 BG14,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.993,0.7275,21.68,94.97,280.96,323.3,0.636,18.66,,,,1030,2.82,21.05,3.44,0.54,,
184266 (2004 VW14),184266,2004 VW14,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.119,0.6003,3.85,101.15,42.36,116.53,0.452,19.4,,,,1130,3.1,20.4,3.39,0.85,2.5,
